,role_or_degree,education_code
4176,"bachelor of science in computer engineering, network and system administration/administrator",1252
4177,bachelor of science in management,1354
4178,"associate in computer system design and programming, computer programming",253
4180,"ma applied economics, economics",2663
4181,"bs commerce, major in economics, economics",1946
4184,treasury certification program,3181
4185,"bachelor’s degree, management",1844
4188,"bachelor's degree, bsba major in entrepreneurial management",1590
4189,"engineer’s degree, electronics engineering",2448
4190,"technician, electronics engineering technology",3172
4191,"bachelor of science in business administration (bsba), corporate management",1135
4192,1996 - 1998,56
4193,"bachelor's degree, political science",1710
4196,ab economics minor in development management,178
4198,"bachelor's degree, applied economics",1552
4200,"bachelor’s degree, industrial management engineering minor in information technology",1835
4201,"bachelor of science in business economics, economics",1215
4206,"bachelor of commerce - bcom, business/commerce, general",643
4207,"diploma, big data journalism",2376
4208,"masters, journalism",2940
4209,"ba, english studies (anglo-american literature)",349
4210,"bachelor in banking and finance , finance and financial management services",366
4213,"accountancy, bs accountancy",220
4215,"bachelor of arts (b.a.), european studies - international business",427
4216,"bs legal management, business, business law",2032
4221,"mba, finance, general",2965
4230,"bachelor of science (b.s.), tourism management ",807
4231,"bsba major in corporate management, corporate management",2134
4232,"bsba major in corporate management, business administration and management, general",2133
4234,"bachelor of science (bs), information technology, information technology",886
4236,bachelor of science in entrepreneurship,1305
4237,"bachelor's degree, business administration major in management accounting",1602
4238,certificate course in strategic compliance in the banking industry,2222
4240,"bachelor of science (b.s.), business administration major in management accounting",730
4245,"master in business administration, major in finance",2716
4252,ab interdisciplinary studies,184
4254,"master of business administration (mba), organizational development and leadership",2776
4256,"bachelor of science, entrepreneurship/entrepreneurial studies",1462
4257,2007 - 2012,120
4261,"bachelor's degree, computer science, major in computer engineering",1625
4262,"master's degree, computer science",2882
4263,"master of business administration (mba), total quality management",2777
4264,"cross cultural communication with supervisory skills and practicum program, business administration and management, general",2330
4265,"bachelor of science in tourism management, tourism and travel services marketing operations",1404
4269,"bachelor’s degree, bs business administration major in finance and treasury management",1786
4273,"bachelor of science (b.s.), psychology , cum laude",798
4276,"high school diploma, industrial engineering",2527
4277,master of business management,2800
4279,"bachelor of science in business administration, internal auditing",1191
4283,"bachelor of science (bs), interdisciplinary business studies",887
4287,"medical residency, psychiatry and behavioral medicine",2973
4288,"doctor of medicine (m.d.), medicine",2393
4289,"bachelor’s degree, molecular biology and biotechnology",1855
4292,"master of science (ms), management",2829
4293,"bachelor of arts, humanities",540
4295,"bachelor of science in computer science, specialization in information technology",1271
4296,"college, international development studies",2289
4297,"ba development studies, social sciences",337
4300,"bachelor of science (bs), physics",908
4301,"bachelor of science (bs), business administration major in marketing management",845
4307,"degree: bs, computer engineer",2335
4308,"master of management, business management",2812
4309,"bachelor’s degree, economics",1820
4312,1985 - 1989,16
4313,bachelor of science major in accounting,1411
4315,"industrial and organizational psychology, industrial and organizational psychology",2583
4317,"ba, philosophy",354
4318,"bankers association of the philippines tcp program, money market and fx",1876
4321,"bachelor, marketing",1737
4322,"ma, human resources management",2669
4324,"bs of computer science, information technology",2059
4326,"bs in commerce / bs psychology / ab guidance and counselling, human resources / psychology",1999
4327,cfa charterholder,2270
4328,"technical writing certificate, professional, technical, business, and scientific writing",3170
4329,"commerce, business management (cum laude)",2292
4330,"bachelor of science (bs) in commerce, major in management of financial institutions",819
4333,"bachelor of business administration (bba), accounting",570
4334,"cais, bachelor of science in commerce, major in computer applications and information science",2211
4340,master of science in innovation and business,2852
4342,"bachelor of science (bs), nursing practice",905
4343,"bachelor of science (b.s.), management of financial institutions",781
4345,"bachelor of science in accountancy, bachelor of science in accountacy",1109
4346,"b.s. in commerce, management",308
4347,1986 - 1990,19
4349,"bachelor of science (b.s.), management accounting ",776
4350,bs business administration major in computer application,1927
4351,"bs ag economics, magna cum laude, finance and cooperatives",1910
